Date,Adj Close,Close,High,Low,Open,Volume
2006-03-08,89.86738586425781,128.24000549316406,128.44000244140625,127.18000030517578,127.69999694824219,66692400
2006-03-09,89.26471710205078,127.37999725341797,128.67999267578125,127.37999725341797,128.27999877929688,56313600
2006-03-10,90.11266326904297,128.58999633789062,128.83999633789062,127.44000244140625,127.70999908447266,60490800
2006-03-13,90.28085327148438,128.8300018310547,129.16000366210938,128.52999877929688,128.83999633789062,45479100
2006-03-14,91.22686767578125,130.17999267578125,130.22999572753906,128.61000061035156,128.7100067138672,69877300
2006-03-15,91.63333892822266,130.75999450683594,130.86000061035156,129.85000610351562,130.14999389648438,53398900
2006-03-16,91.8225326538086,131.02999877929688,131.47000122070312,130.83999633789062,131.00999450683594,65526400
2006-03-17,91.89924621582031,130.6199951171875,130.89999389648438,130.3800048828125,130.67999267578125,47286800
2006-03-20,91.75151824951172,130.41000366210938,130.89999389648438,130.2100067138672,130.63999938964844,45538500
2006-03-21,91.1745834350586,129.58999633789062,130.99000549316406,129.4499969482422,130.3699951171875,87102700
2006-03-22,91.73040008544922,130.3800048828125,130.50999450683594,129.4499969482422,129.50999450683594,51605700
2006-03-23,91.5404281616211,130.11000061035156,130.38999938964844,129.66000366210938,130.25999450683594,46704200
2006-03-24,91.61080932617188,130.2100067138672,130.57000732421875,129.74000549316406,129.99000549316406,43209200
2006-03-27,91.47711181640625,130.02000427246094,130.27999877929688,129.74000549316406,130.02999877929688,32523000
2006-03-28,90.91427612304688,129.22000122070312,130.52999877929688,129.0500030517578,129.92999267578125,82079900
2006-03-29,91.48412322998047,130.02999877929688,130.5,129.2899932861328,129.41000366210938,61505700
2006-03-30,91.32230377197266,129.8000030517578,130.97999572753906,129.5500030517578,130.11000061035156,70571700
2006-03-31,91.34341430664062,129.8300018310547,130.24000549316406,129.3699951171875,130.02000427246094,62925600
2006-04-03,91.27306365966797,129.72999572753906,130.8699951171875,129.49000549316406,130.07000732421875,61624700
2006-04-04,91.85700988769531,130.55999755859375,130.72999572753906,129.36000061035156,129.72999572753906,54809300
2006-04-05,92.17361450195312,131.00999450683594,131.27999877929688,130.3800048828125,130.61000061035156,50607200
2006-04-06,92.07514190673828,130.8699951171875,131.2100067138672,130.19000244140625,130.85000610351562,57906200
